-0.193117, -78.487032
-0.193157, -78.487017
-0.193199, -78.486999
-0.193254, -78.486973
-0.193298, -78.486932
-0.193310, -78.486864
-0.193302, -78.486836
-0.193290, -78.486801
-0.193261, -78.486749
-0.193233, -78.486699
-0.193186, -78.486644
-0.193118, -78.486632
-0.193061, -78.486647
-0.192934, -78.486706
-0.192836, -78.486739
-0.192806, -78.486799
-0.192801, -78.486866
-0.192829, -78.486915
-0.192895, -78.486943
-0.192952, -78.486929
-0.192992, -78.486909
-0.193077, -78.486870
-0.193113, -78.486840
-0.193098, -78.486802
-0.193054, -78.486801
-0.193015, -78.486824
-0.192970, -78.486852
-0.192915, -78.486876
-0.192878, -78.486867
-0.192867, -78.486823
-0.192893, -78.486801
-0.193028, -78.486738
-0.193099, -78.486730
-0.193150, -78.486750
-0.193184, -78.486789
-0.193197, -78.486843
-0.193185, -78.486896
-0.193153, -78.486934
-0.193084, -78.486960
-0.193007, -78.486989
-0.192998, -78.487023
-0.193013, -78.487058
-0.193044, -78.487063
-0.193086, -78.487058
-0.193122, -78.487047
